iter	Passed	Remaining
0	161	161338
1	163	81490
2	164	54833
3	167	41656
4	169	33725
5	171	28346
6	173	24580
7	175	21714
8	176	19487
9	178	17702
10	180	16216
11	182	15039
12	184	13985
13	185	13080
14	187	12291
15	188	11616
16	190	11021
17	192	10492
18	193	10010
19	195	9582
20	197	9193
21	198	8829
22	199	8472
23	201	8174
24	202	7891
25	203	7634
26	205	7389
27	206	7151
28	207	6940
29	209	6759
30	210	6586
31	212	6419
32	213	6259
33	214	6106
34	216	5970
35	217	5833
36	219	5709
37	220	5590
38	222	5477
39	224	5378
40	225	5275
41	226	5177
42	227	5070
43	229	4976
44	230	4889
45	231	4793
46	232	4712
47	233	4633
48	234	4557
49	236	4492
50	237	4426
51	238	4348
52	239	4280
53	240	4218
54	242	4160
55	243	4102
56	244	4047
57	245	3993
58	247	3941
59	248	3891
60	249	3842
61	251	3805
62	253	3765
63	254	3725
64	256	3683
65	257	3642
66	258	3602
67	260	3568
68	261	3529
69	262	3491
70	264	3454
71	265	3422
72	266	3387
73	268	3355
74	269	3324
75	270	3293
76	272	3265
77	273	3235
78	274	3204
79	276	3175
80	277	3147
81	278	3119
82	280	3095
83	281	3067
84	282	3040
85	283	3015
86	285	2991
87	286	2966
88	287	2941
89	288	2916
90	289	2893
91	291	2872
92	292	2852
93	294	2833
94	295	2813
95	296	2791
96	296	2764
97	298	2743
98	299	2725
99	300	2707
100	301	2684
101	302	2666
102	304	2648
103	305	2631
104	306	2615
105	308	2600
106	309	2584
107	311	2568
108	312	2551
109	313	2535
110	314	2520
111	316	2507
112	316	2486
113	318	2472
114	319	2456
115	320	2441
116	322	2431
117	323	2416
118	324	2402
119	325	2388
120	326	2373
121	327	2355
122	328	2344
123	330	2333
124	331	2320
125	332	2307
126	334	2297
127	335	2288
128	337	2277
129	338	2265
130	339	2253
131	341	2243
132	342	2233
133	343	2222
134	345	2211
135	346	2200
136	347	2190
137	349	2180
138	349	2167
139	351	2157
140	352	2147
141	353	2138
142	355	2129
143	356	2118
144	357	2108
145	358	2099
146	360	2090
147	361	2082
148	363	2073
149	364	2066
150	365	2057
151	367	2047
152	368	2038
153	369	2030
154	370	2022
155	372	2012
156	373	2004
157	374	1995
158	375	1987
159	376	1978
160	378	1970
161	379	1963
162	380	1956
163	382	1948
164	383	1940
165	384	1931
166	385	1921
167	386	1913
168	387	1906
169	389	1901
170	391	1895
171	392	1889
172	393	1881
173	394	1873
174	395	1866
175	397	1859
176	398	1853
177	400	1847
178	401	1841
179	402	1833
180	403	1826
181	404	1819
182	406	1813
183	407	1808
184	409	1802
185	410	1796
186	411	1789
187	412	1782
188	414	1776
189	415	1771
190	417	1766
191	418	1760
192	419	1753
193	420	1748
194	421	1741
195	423	1735
196	424	1729
197	425	1722
198	426	1715
199	427	1708
200	428	1701
201	429	1695
202	430	1688
203	431	1682
204	432	1675
205	432	1668
206	433	1662
207	435	1656
208	436	1650
209	437	1644
210	437	1637
211	438	1631
212	439	1624
213	440	1618
214	441	1612
215	442	1607
216	443	1602
217	445	1597
218	446	1591
219	447	1585
220	448	1580
221	449	1575
222	450	1570
223	452	1566
224	453	1561
225	454	1557
226	456	1553
227	457	1549
228	459	1545
229	460	1542
230	462	1539
231	464	1536
232	465	1532
233	466	1528
234	468	1523
235	469	1520
236	470	1516
237	471	1510
238	473	1506
239	474	1502
240	475	1497
241	476	1492
242	478	1489
243	479	1485
244	481	1482
245	482	1479
246	483	1474
247	485	1470
248	486	1466
249	487	1461
250	488	1456
251	489	1452
252	490	1447
253	491	1443
254	492	1439
255	493	1435
256	495	1431
257	496	1427
258	497	1423
259	498	1419
260	499	1414
261	500	1410
262	502	1407
263	503	1402
264	504	1399
265	505	1394
266	506	1390
267	507	1385
268	508	1381
269	509	1376
270	510	1372
271	511	1368
272	512	1363
273	512	1359
274	513	1354
275	514	1349
276	515	1345
277	516	1340
278	517	1336
279	518	1332
280	518	1327
281	519	1323
282	520	1319
283	521	1315
284	522	1310
285	523	1306
286	524	1301
287	524	1297
288	525	1293
289	526	1288
290	527	1284
291	528	1280
292	529	1276
293	529	1272
294	530	1268
295	531	1263
296	532	1259
297	532	1255
298	533	1251
299	534	1247
300	535	1243
301	536	1239
302	537	1235
303	537	1231
304	538	1227
305	539	1223
306	540	1219
307	541	1215
308	541	1211
309	542	1207
310	543	1203
311	544	1199
312	544	1196
313	545	1192
314	546	1188
315	547	1185
316	548	1181
317	549	1177
318	550	1174
319	551	1171
320	552	1167
321	552	1164
322	553	1160
323	554	1157
324	555	1154
325	556	1151
326	557	1147
327	558	1144
328	559	1140
329	560	1137
330	561	1134
331	562	1131
332	563	1128
333	564	1124
334	565	1122
335	566	1120
336	567	1117
337	568	1113
338	569	1110
339	570	1107
340	571	1103
341	572	1100
342	572	1097
343	573	1094
344	574	1091
345	575	1088
346	576	1085
347	577	1081
348	578	1078
349	579	1076
350	580	1073
351	581	1070
352	582	1068
353	583	1065
354	584	1062
355	585	1059
356	586	1056
357	587	1054
358	588	1051
359	589	1048
360	590	1045
361	591	1042
362	592	1039
363	593	1037
364	594	1034
365	595	1031
366	596	1028
367	596	1025
368	597	1022
369	598	1019
370	599	1016
371	600	1013
372	601	1010
373	602	1007
374	602	1004
375	603	1001
376	604	999
377	605	996
378	606	993
379	607	991
380	608	988
381	610	987
382	612	986
383	613	984
384	615	982
385	616	980
